2018-01-27 00:25:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1500	later,\
2018-01-27 00:25:00	CNNW	21	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1500	SOURCE: FEARS TRUMP WILL DIRECT HIS ANGER AT WH COUNSEL. . Jamil Jaffer Fmr. Associate Counsel to Pres. George W. Bush\nTRUMP RETURNS TO WHITE HOUSE AMID MUELLER BOMBSHELL\nSOURCE: FEARS TRUMP WILL DIRECT HIS ANGER AT WH COUNSEL\nSOURCE: FEARS TRUMP WILL...
2018-01-27 00:25:00	MSNBCW	24	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1500	TWEETS SHOW RUSSIA PROBE CLEARLY ON TRUMP'S MIND IN JUNE\nSOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE\nbefore the 2O16 Election. were meddlina, why no a\nJONATHAN SWAN | AXIOS
2018-01-27 00:26:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1560	later,\
2018-01-27 00:26:00	MSNBCW	20	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1560	TRUMP: REPORTS I TRIED TO FIRE MUELLER \"FAKE NEWS\"\nSOURCE: TRUMP ORDERED FIRING OF SPECIAL COUNSEL IN JUNE\nWSJ: TRUMP LEGAL TEAM STUDYING COURT RULING. TO DELAY. LIMIT OR AVOID...
2018-01-27 00:27:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1620	later,\
2018-01-27 00:28:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1680	later,\
2018-01-27 00:28:00	MSNBCW	34	MSNBCW_20180127_000000_Hardball_With_Chris_Matthews/start/1680	WSJ: TRUMP LEGAL TEAM STUDYING COURT RULING. TO DELAY. LIMIT OR AVOID INTERVIEW WITH MUELLER
2018-01-27 00:29:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1740	later,\
2018-01-27 00:29:00	CNNW	11	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1740	1-8OO-86O-4881
2018-01-27 00:30:00	BBCNEWS	4	BBCNEWS_20180127_000000_BBC_News/start/1800	later,\
2018-01-27 00:30:00	FOXNEWSW	21	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/1800	)X SOURCE: TRUMP TALKED OUT OF AXING MUELLER I\nPRESIDENT TRUMP DISMISSES REPORT HE TRIED. TO FIRE ROBERT MUELLER AS \"FAKE NEWS\
2018-01-27 00:31:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/60	later,\
2018-01-27 00:31:00	CNNW	34	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1860	IGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER, FBI\nIGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER FBI. . Rep. Trev Gowdv (R) Judiciary Committee\nGOP PUSHES CONSPIRACY THEORIES...
2018-01-27 00:31:00	FOXNEWSW	15	FOXNEWSW_20180127_000000_The_Story_With_Martha_MacCallum/start/1860	GOP LAWMAKERS SAY NEW FBI TEXTS SHOW. \"FIX WAS IN\" FOR HILLARY CLINTON EMAIL PROBE
2018-01-27 00:32:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/120	later,\
2018-01-27 00:33:00	BBCNEWS	4	BBCNEWS_20180127_003000_Inside_Out/start/180	later,\
2018-01-27 00:33:00	CNNW	34	CNNW_20180127_000000_Erin_Burnett_OutFront/start/1980	IGNORING FACTS, GOP PUSHES THEORIES TO DISCREDIT MUELLER, FBI\nTRUMP'S OWN JUSTICE DEPT. WARNS NUNES IT WOULD BE. \"RECKLESS\" TO RELEASE MEMO ALLEGING FBI ABUSE\nIGNORING FACTS GOP PUSHES THEORIES TO...
