2018-01-04 00:19:00	MSNBCW	15	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1140	FIRM BEHIND TRUMP-RUSSIA DOSSIER: WE DON'T BELIEVE. DOSSIFD WAS \"TpIGGFp\" mp FRI Fl FCTION ManI ING 9mm:\nFIRM BEHIND TRUMP-RUSSIA DOSSIER: WE DON'T BELIEVE. DOSSIFD WAS \"TDIGGFD\" mp FRI Fl FCTION ManI ING 9mm:\nFIRM BEHIND TRUMP-RUSSIA...
2018-01-04 00:20:00	BBCNEWS	12	BBCNEWS_20180104_000000_Newsday/start/1200	EXTREME WEATHER. Floods also hit India, Pakistan, Bangladesh & Nepal\nEXTREME WEATHER. Hurricane Maria 1Oth most intense Atlantic hurricane\nEXTREME WEATHER. Maria seen as worst natural disaster in Puerto...
2018-01-04 00:20:00	FOXNEWSW	30	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1200	IR TRUMP CAMPAIGN AIDE ON BANNON ALLEGATIONS T;\nBANNON IGNITES WAR WITH WHITE HOUSE. IN EXPLOSIVE NEW BOOK. . W
2018-01-04 00:20:00	MSNBCW	22	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1200	FIRM BEHIND TRUMP-RUSSIA DOSSIER: WE DON\u2019T BELIEVE. DOSSIFD WAS \"Tplaan\" mp FRI Fl FCTION ManI ING DDORF\nFIRM BEHIND TRUMP-RUSSIA DOSSIER: WE DON'T BELIEVE. DOSSIFD WAS \"TpIGGFp\" mp FRI Fl FCTION ManI ING 9mm:\nFIRM BEHIND TRUMP-RUSSIA...
2018-01-04 00:21:00	BBCNEWS	11	BBCNEWS_20180104_000000_Newsday/start/1260	EXTREME WEATHER. At least 2OO people were killed by floods in the Philippines\nEXTREME WEATHER. 2O17 was the third warmest year ever\nEXTREME WEATHER. Floods also hit India, Pakistan, Bangladesh & Nepal\nEXTREME...
2018-01-04 00:22:00	BBCNEWS	16	BBCNEWS_20180104_000000_Newsday/start/1320	V. . NEWSDAV. . Swim
2018-01-04 00:22:00	FOXNEWSW	37	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1320	1R TRUMP CAMPAIGN AIDE ON BANNON ALLEGATIONS. . \\ 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\n)MNEY EYED AS SENATE REPLACEMENT IN UTAH. . \\ f'ha ufn-nv\n. ASHBACK: ROMNEY CRITICIZES TRUMP IN SPEECH '
2018-01-04 00:22:00	MSNBCW	26	MSNBCW_20180104_000000_Hardball_With_Chris_Matthews/start/1320	BANNON IN NEW BOOK: RUSSIA PROBE'S \"PATH TO TRUMP\". GOFS \"RIGHT THROUGH\" MANAanT, now 19,, KUSHNFD\nBANNON IN NEW BOOK: RUSSIA PROBE. \"Al I ABOUT MONFV I AIJNDFDING\"\nBANNON IN NEW BOOK: RUSSIA PROBE. \"Al I ABOUT MONFV I AUNDFDING\
2018-01-04 00:24:00	CNNW	47	CNNW_20180104_000000_Erin_Burnett_OutFront/start/1440	CNN: TRUMP'S EXPLOSIVE TWO DAYS FUELED BY RUSSIA. INVESTIGATION, ANGER OVER BANNON ALLEGATIONS\nBOOK: BANNON SAYS RUSSIA PROBE CENTERS ON \"MONEY LAUNDERING\
2018-01-04 00:24:00	FOXNEWSW	4	FOXNEWSW_20180104_000000_The_Story_With_Martha_MacCallum/start/1440	Fisherlnvestments.com/TV
