2017-12-07 00:20:00	FOXNEWSW	21	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1200	RPT: CONGRESSIONAL BLACK CAUCUS MEMBERS I. UPSET FOLLOWING CONYERS RESIGNATION '\nPELOSI FLIP-FLOPS ON CONYERS I\nFRANKEN FACING CALLS TO RESIGN FOLLOWING. ALLEGATIONS OF SEXUAL MISCONDUCT
2017-12-07 00:20:00	MSNBCW	29	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1200	SENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nOFFICE: FRANKEN TO MAKE ANNOUNCEMENT TOMORROW\nREP. CHERI BUSTOS I (D) ILLINOIS
2017-12-07 00:21:00	BBCNEWS	17	BBCNEWS_20171207_000000_Newsday/start/1260	NEPAL ELECTIONS. First general election since civil war ended\nNEPAL ELECTIONS. First general election since monarchy abolished\nNEPAL ELECTIONS. Voters to choose a 275-member parliament\nNEPAL...
2017-12-07 00:21:00	CNNW	28	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1260	WHISTLEBLOWER: FLYNN SUGGESTED TO FORMER COLLEAGUE. THAT RUSSIA SANCTIONS WOULD BE \u201cRIPPED UP\"\nWHISTLEBLOWER: FLYNN SUGGESTED RUSSIAN SANCTIONS WOULD END. . James Clapper Former Director of National Intelligence\nWHISTLEBLOWER:...
2017-12-07 00:21:00	FOXNEWSW	22	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1260	RPT: CONGRESSIONAL BLACK CAUCUS MEMBERS. UPSET FOLLOWING CONYERS RESIGNATION\n{ANKEN FACING GROWING CALLS TO RESIGN\nFRANKEN FACING CALLS TO RESIGN FOLLOWING. ALLEGATIONS OF SEXUAL MISCONDUCT
2017-12-07 00:21:00	MSNBCW	35	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1260	MINORITY LEADER SEN. SCHUMER CALLS ON FRANKEN TO RESIGN\nSENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nREP. CHERI BUSTOS I (D) ILLINOIS
2017-12-07 00:22:00	CNNW	34	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1320	WHISTLEBLOWER: FLYNN SUGGESTED RUSSIAN SANCTIONS WOULD END. . James Clapper Former Director of National Intelligence\nWHISTLEBLOWER: FLYNN SUGGESTED TO FORMER COLLEAGUE. THAT RUSSIA SANCTIONS WOULD BE \"RIPPED UP\"\nWHISTLEBLOWER: FLYNN SUGGESTED RUSSIAN...
2017-12-07 00:22:00	MSNBCW	34	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1320	SENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nOFFICE: FRANKEN TO MAKE ANNOUNCEMENT TOMORROW\nFRANKEN: \"I LOOK FORWARD TO FULLY COOPERATING. WITH THF ONGOING Fn-ucs COMMITI'FF...
2017-12-07 00:23:00	BBCNEWS	13	BBCNEWS_20171207_000000_Newsday/start/1380	NEWSDAV mm\ufb01
2017-12-07 00:23:00	CNNW	54	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1380	WHISTLEBLOWER: FLYNN SUGGESTED TO FORMER COLLEAGUE. THAT RUSSIA SANCTIONS WOULD BE \"RIPPED UP\"\nWHISTLEBLOWER: FLYNN SUGGESTED RUSSIAN SANCTIONS WOULD END\nWHISTLEBLOWER: FLYNN SUGGESTED RUSSIAN SANCTIONS WOULD END. . James Clapper...
2017-12-07 00:23:00	MSNBCW	14	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1380	MINORITY LEADER SEN. SCHUMER CALLS ON FRANKEN TO RESIGN\nSENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nFRANKEN: \"THIS ALLEGATION IS CATEGORICALLY NOT TRUE\"\nFRANKEN: \"I LOOK FORWARD TO FULLY...
2017-12-07 00:24:00	CNNW	47	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1440	WHISTLEBLOWER: FLYNN SUGGESTED RUSSIAN SANCTIONS WOULD END. . James Clapper Former Director of National Intelligence\nWHISTLEBLOWER: FLYNN SUGGESTED TO FORMER COLLEAGUE. THAT RUSSIA SANCTIONS WOULD BE \"RIPPED UP\
2017-12-07 00:24:00	FOXNEWSW	31	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1440	FRANKEN FACING CALLS TO RESIGN FOLLOWING. ALLEGATIONS OF SEXUAL MISCONDUCT\nFRANKEN FACING CALLS TO RESIGN FOLLOWING. Al I FnATIrwc m: (nu IAI MicrnMnI Ir'r .\u2014\nBANNON RIPS ROMNEY WHILE. CAMPAIGNING FOR...
2017-12-07 00:24:00	MSNBCW	28	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1440	SENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nFRANKEN: \"THIS ALLEGATION IS CATEGORICALLY NOT TRUE\"\nOFFICE: FRANKEN TO MAKE ANNOUNCEMENT TOMORROW
2017-12-07 00:25:00	FOXNEWSW	15	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1500	BANNON RIPS ROMNEY WHILE. CAMPAIGNING FOR MOORE\n-=' n, \u201dF _STRATEGIST. . . . BANNoN Riiis RoMNEY WHILE. ('AMDAIGNINF FOP MnnDF
2017-12-07 00:25:00	MSNBCW	37	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1500	SENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nOFFICE: FRANKEN TO MAKE ANNOUNCEMENT TOMORROW
2017-12-07 00:26:00	CNNW	62	CNNW_20171207_000000_Erin_Burnett_OutFront/start/1560	TRUMP JR REFUSES TO DETAIL CONVERSATION WITH HIS FATHER. ABOUT TRUMP TOWER MEETING WITH RUSSIAN LAWYER
2017-12-07 00:26:00	FOXNEWSW	13	FOXNEWSW_20171207_000000_The_Story_With_Martha_MacCallum/start/1560	FRANKEN FACING CALLS TO RESIGN FOLLOWING. ALLEGATIONS OF SEXUAL MISCONDUCT\n>BILI. BE ) 3M. . BANNON Ribs ROMNEY WHILE. ('AMDAIGNING an MnnDF
2017-12-07 00:26:00	MSNBCW	27	MSNBCW_20171207_000000_Hardball_With_Chris_Matthews/start/1560	SENATE DEMOCRATS CALL ON FRANKEN TO RESIGN\nFRANKEN: \"THIS ALLEGATION IS CATEGORICALLY NOT TRUE\"\nEX-DEMOCRATIC AIDE TELLS POLITICO FRANKEN TRIED. TO KISS HFD z YFADS RFFODF HF...
